1;;0
2;;1
3;;-1
4;;-1
5;;-1
6;;-1
7;;1
8;;-1
9;;1
10;;-1
11;;-1
12;;-1
13;;-1
14;;0
15;;-1
16;;-1
17;;1
18;;-1
19;;1
20;;-1
21;;-1
22;;1
23;;-1
24;;-1
25;;-1
26;;1
27;;1
28;;-1
29;;0
30;;-1
31;;1
32;;-1
33;;-1
34;;-1
35;;0
36;;0
37;;-1
38;;1
39;;1
40;;-1
41;;-1
42;;0
43;;1
44;;-1
45;;1
46;;1
47;;1
48;;1
49;;-1
50;;0
51;;-1
52;;-1
53;;-1
54;;1
55;;-1
56;;-1
57;;-1
58;;-1
59;;1
60;;1
61;;1
62;;1
63;;1
64;;1
65;;-1
66;;1
67;;1
68;;1
69;;1
70;;-1
71;;-1
72;;0
73;;1
74;;0
75;;1
76;;-1
77;;-1
78;;0
79;;1
80;;-1
81;;1
82;;0
83;;1
84;;-1
85;;1
86;;1
87;;1
88;;-1
89;;1
90;;1
91;;0
92;;-1
93;;1
94;;-1
95;;-1
96;;1
97;;1
98;;1
99;;1
100;;1
101;;0
102;;1
103;;-1
104;;0
105;;-1
106;;1
107;;-1
108;;1
109;;-1
110;;-1
111;;1
112;;-1
113;;-1
114;;0
115;;-1
116;;1
117;;-1
118;;0
119;;1
120;;1
121;;1
122;;1
123;;-1
124;;0
125;;1
126;;-1
127;;-1
128;;1
129;;0
130;;1
131;;-1
132;;1
133;;1
134;;0
135;;0
136;;-1
137;;-1
138;;-1
139;;0
140;;1
141;;1
142;;1
143;;1
144;;1
145;;0
146;;0
147;;-1
148;;0
149;;0
150;;0
151;;1
152;;1
153;;0
154;;1
155;;1
156;;1
157;;0
158;;0
159;;0
160;;-1
161;;-1
162;;0
163;;1
164;;1
165;;1
166;;1
167;;-1
168;;0
169;;0
170;;0
171;;-1
172;;0
173;;0
174;;0
175;;-1
176;;-1
177;;0
178;;0
179;;0
180;;0
181;;1
182;;0
183;;0
184;;1
185;;0
186;;-1
187;;-1
188;;1
189;;1
190;;-1
191;;1
192;;1
193;;-1
194;;1
195;;1
196;;-1
197;;-1
198;;1
199;;-1
200;;1
201;;0
202;;0
203;;1
204;;1
205;;-1
206;;1
207;;1
208;;1
209;;1
210;;0
211;;1
212;;1
213;;1
214;;1
215;;1
216;;1
217;;1
218;;1
219;;1
220;;0
221;;1
222;;-1
223;;1
224;;0
225;;1
226;;1
227;;1
228;;1
229;;1
230;;1
231;;0
232;;1
233;;1
234;;1
235;;1
236;;1
237;;0
238;;-1
239;;1
240;;-1
241;;1
242;;1
243;;1
244;;0
245;;1
246;;1
247;;1
248;;1
249;;-1
250;;1
251;;-1
252;;-1
253;;0
254;;1
255;;0
256;;-1
257;;1
258;;1
259;;0
260;;1
261;;1
262;;0
263;;1
264;;1
265;;1
266;;1
267;;1
268;;0
269;;0
270;;1
271;;0
272;;1
273;;0
274;;1
275;;1
276;;-1
277;;1
278;;0
279;;0
280;;1
281;;0
282;;0
283;;1
284;;0
285;;-1
286;;-1
287;;1
288;;1
289;;0
290;;1
291;;0
292;;1
293;;0
294;;0
295;;1
296;;0
297;;1
298;;1
299;;0
300;;0
301;;-1
302;;1
303;;0
304;;0
305;;0
306;;0
307;;0
308;;-1
309;;0
310;;1
311;;0
312;;1
313;;-1
314;;0
315;;1
316;;0
317;;1
318;;-1
